"source","target","weight"
"Al-Qaida in the Indian Subcontinent","Bangladesh",6
"Al-Qaida in the Indian Subcontinent","Pakistan",8
"Al-Qaida in the Islamic Maghreb (AQIM)","Afghanistan",2
"Al-Qaida in the Islamic Maghreb (AQIM)","Algeria",172
"Al-Qaida in the Islamic Maghreb (AQIM)","Australia",1
"Al-Qaida in the Islamic Maghreb (AQIM)","Austria",1
"Al-Qaida in the Islamic Maghreb (AQIM)","Burkina Faso",3
"Al-Qaida in the Islamic Maghreb (AQIM)","Canada",2
"Al-Qaida in the Islamic Maghreb (AQIM)","Chad",1
"Al-Qaida in the Islamic Maghreb (AQIM)","France",14
"Al-Qaida in the Islamic Maghreb (AQIM)","International",17
"Al-Qaida in the Islamic Maghreb (AQIM)","Italy",2
"Al-Qaida in the Islamic Maghreb (AQIM)","Ivory Coast",1
"Al-Qaida in the Islamic Maghreb (AQIM)","Mali",23
"Al-Qaida in the Islamic Maghreb (AQIM)","Mauritania",5
"Al-Qaida in the Islamic Maghreb (AQIM)","Multinational",1
"Al-Qaida in the Islamic Maghreb (AQIM)","Niger",4
"Al-Qaida in the Islamic Maghreb (AQIM)","Nigeria",1
"Al-Qaida in the Islamic Maghreb (AQIM)","Russia",1
"Al-Qaida in the Islamic Maghreb (AQIM)","Spain",1
"Al-Qaida in the Islamic Maghreb (AQIM)","Switzerland",2
"Al-Qaida in the Islamic Maghreb (AQIM)","Tunisia",4
"Al-Qaida in the Islamic Maghreb (AQIM)","United States",2
"Al-Qaida in Yemen","Iraq",1
"Al-Qaida in Yemen","South Korea",2
"Al-Qaida in Yemen","Spain",1
"Al-Qaida in Yemen","United States",3
"Al-Qaida in Yemen","Yemen",5
"Al-Qaida Kurdish Battalions (AQKB)","Iraq",2
"Al-Qaida Network for Southwestern Khulna Division","Bangladesh",2
"Al-Qaida Organization for Jihad in Sweden","Iraq",1
"Al-Qaqa Brigade","Libya",4
"Al-Qassam Brigades","Thailand",1
"Al-Sa'iqa","Israel",1
"Al-Sa'iqa","West Bank and Gaza Strip",1
"Al-Saadawi Militia","Libya",1
"Al-Sadr Brigades","Libya",2
"Al-Sadr Brigades","Spain",1
"Al-Sawaiq Brigade","Libya",1
"Al-Shabaab","Asian",1
"Al-Shabaab","Burundi",1
"Al-Shabaab","China",1
"Al-Shabaab","Denmark",1
"Al-Shabaab","Ethiopia",29
"Al-Shabaab","France",2
"Al-Shabaab","Germany",1
"Al-Shabaab","Great Britain",3
"Al-Shabaab","International",513
"Al-Shabaab","Iran",1
"Al-Shabaab","Japan",1
"Al-Shabaab","Kenya",322
"Al-Shabaab","Qatar",1
"Al-Shabaab","Solomon Islands",2
"Al-Shabaab","Somalia",1746
"Al-Shabaab","South Africa",1
"Al-Shabaab","Spain",1
"Al-Shabaab","Tanzania",2
"Al-Shabaab","Turkey",9
"Al-Shabaab","Uganda",7
"Al-Shabaab","United Arab Emirates",2
"Al-Shabaab","United States",4
"Al-Shabaab al-Mu'minin","Yemen",4
"Al-Sham Legion","Syria",6
"Al-Shuda Brigade","India",5
"Al-Sunna wal Jamma","Nigeria",1
"Al-Sunni muslim sect","Ghana",1
"Al-Toaiman Tribesmen","France",1
"Al-Toaiman Tribesmen","Yemen",1
"Al-Umar Mujahideen","India",11
"Al-Ummah","India",16
"Al-Yakin Mujahidin","Myanmar",3
"Al-Yemenia al-Ulia Tribesmen","Italy",1
"Al-Zaidi Tribe - Mareb","Sweden",1
"Al-Zintan Revolutionaries' Military Council","Libya",1
"Al-Zulfikar","Pakistan",7
"Al-Zulfikar","Singapore",1
"Albanian exiles","Germany",1
"Albanian extremists","Albania",1
"Albanian extremists","Italy",1
"Albanian extremists","Kosovo",9
"Albanian extremists","Macedonia",9
"Albanian extremists","Serbia",1
"Albanian extremists","Serbia-Montenegro",22
"Albanian extremists","Yugoslavia",5
"Albanian National Army (ANA)","Macedonia",4
"Albanian National Army (ANA)","Multinational",1
"Albanian National Army (ANA)","Serbia-Montenegro",1
"Albanian Separatists","Serbia-Montenegro",1
"Albanian Separatists","Yugoslavia",1
"Albatros Commando","Argentina",1
"Alcubar group","Philippines",1
"Alde Hemendik Movement","Spain",1
"Alejo Calatayu","United States",2
"Aleppo Fatah Operations Room","Syria",8
"Alex Boncayao Brigade (ABB)","Netherlands",1
"Alex Boncayao Brigade (ABB)","Philippines",9
"Alex Boncayao Brigade (ABB)","Singapore",1
"Alexander Villalon (YADO)","Philippines",1
"Alexandros Grigoropoulos Anarchist Attack Group","Greece",1
"Alfa 83","Colombia",1
"Alfaro Vive","Colombia",2
"Alfaro Vive","Ecuador",21
"Alfaro Vive","France",1
"Alfaro Vive","Great Britain",1
"Alfaro Vive","Peru",2
"Algeisk Wolves","Russia",3
"Algeria Province of the Islamic State","Algeria",5
"Algerian Islamic Extremists","Algeria",371
"Algerian Islamic Extremists","China",1
"Algerian Islamic Extremists","Denmark",1
"Algerian Moslem Fundamentalists","Algeria",2
"Algerian Moslem Fundamentalists","France",1
"Algerian Mujahideen for Muslims","Algeria",1
"All Assam Revolutionary Army (AARA)","India",1
"All Burma Students' Democratic Front (ABSDF)","Myanmar",5
"All Ethiopian Unity Party (AEUP)","Ethiopia",1
"All for the Fatherland Movement","Argentina",1
"All India Anna Dravida Munetra Kazgan Party","India",3
"All India Sikh Students Federation (AISSF)","India",5
"All Kamatapur Liberation Force","India",1
"All Karanataka Youth Council","United States",1
"All Nepal Free Nationalist Students Union","Nepal",1
"All Nepal National Free Student Union-Revolutionary","Nepal",4
"All Tripura Tiger Force (ATTF)","Bangladesh",2
"All Tripura Tiger Force (ATTF)","India",11
"All-Party Students Union","Bangladesh",1
"Allah's Tigers","India",2
"Allende Lives Commando","Chile",1
"Alliance of Patriots for a Free and Sovereign Congo (APCLS)","Democratic Republic of the Congo",5
"Alliance of Patriots for a Free and Sovereign Congo (APCLS)","International",1
"Alliance of Revolutionary Cuban Organizations","Cuba",1
"Allied Democratic Forces (ADF)","Democratic Republic of the Congo",135
"Allied Democratic Forces (ADF)","International",11
"Allied Democratic Forces (ADF)","Uganda",48
"Allied Democratic Forces of Guinea (RDFG)","Guinea",1
"Alpha-66 (Cuban counterrevolutionary)","Mexico",1
"Amal","Algeria",1
"Amal","France",1
"Amal","Iran",1
"Amal","Israel",3
"Amal","Lebanon",16
"Amal","Libya",2
"Amal","Saudi Arabia",1
"Amal","Syria",1
"Amal","United States",1
"Amazigh Islamic Front","Egypt",1
"Amazonas Liberation Front","Brazil",1
"America Battalion","Colombia",5
"America Battalion","United States",1
"American Anticommunist Association (AAA)","Colombia",1
"American Indian Movement","United States",6
"American Servicemen's Union (ASU)","United States",3
"Americans for a Competent Federal Judicial System","United States",5
"Americans for Justice","United States",2
"Amhara tribal group","Ethiopia",1
"Amr Bil Maroof Wa Nahi Anil Munkir","Pakistan",3
"Ananda Marga","India",2
"Anarchio Scene","United States",1
"Anarchist Action (CA / United States)","Greece",1
"Anarchist Anti-Capitalist Action Group","Greece",1
"Anarchist Attack Consortium","Greece",1
"Anarchist Cell Acca (C.A.A.)","Italy",1
"Anarchist Commando Nestor Makhno Group","Greece",1
"Anarchist Faction","Italy",1
"Anarchist Faction","Jordan",1
"Anarchist Liberation Brigade","Greece",1
"Anarchist Solidarity","Greece",2
"Anarchist Squad","Greece",1
"Anarchist Struggle","Serbia-Montenegro",1
"Anarchists","Australia",1
"Anarchists","Chile",10
"Anarchists","Denmark",4
"Anarchists","France",1
"Anarchists","Germany",1
"Anarchists","Great Britain",7
"Anarchists","Greece",42
"Anarchists","International",2
"Anarchists","Italy",17
"Anarchists","Mexico",1
"Anarchists","Poland",1
"Anarchists","Portugal",2
"Anarchists","Spain",2
"Anarchists","Turkey",1
"Anarchists","United States",3
"Anarchists","Vatican City",1
"Anarchists Attack Team","Greece",1
"Anarkista Jorge Banos Front of the Everyone For The Homeland Movement (MTP)","Argentina",1
"Anbar Salvation Council","Iraq",1
"Andres Castro United Front","Canada",1
"Andres Castro United Front","Nicaragua",2
"Angels","Philippines",1
"Angola Rebels","Angola",1
"Angolan Defense Force","South Africa",1
"Angry Brigade","Great Britain",1
"Angry Brigade","Greece",1
"Angry Brigade","United States",1
"Angry Brigade (Italy)","Italy",2
"Angry Foxes Cell","Great Britain",1
"Aniban ng Ayaw sa Komunista (ANAK) ","Philippines",1
"Animal Defense League","Great Britain",1
"Animal Liberation Front (ALF)","Australia",1
"Animal Liberation Front (ALF)","Belgium",2
"Animal Liberation Front (ALF)","Canada",2
"Animal Liberation Front (ALF)","Egypt",4
"Animal Liberation Front (ALF)","Finland",1
"Animal Liberation Front (ALF)","France",2
"Animal Liberation Front (ALF)","Germany",1
"Animal Liberation Front (ALF)","Great Britain",20
"Animal Liberation Front (ALF)","Mexico",3
"Animal Liberation Front (ALF)","Netherlands",2
"Animal Liberation Front (ALF)","New Zealand",1
"Animal Liberation Front (ALF)","Sweden",1
"Animal Liberation Front (ALF)","United States",76
"Animal Rights extremists","Great Britain",14
"Animal Rights extremists","Italy",2
"Animal Rights extremists","Netherlands",1
"Animal Rights extremists","United States",3
"Animal Rights Militia","France",1
"Animal Rights Militia","Great Britain",2
"Anonima Sequestri","Italy",1
"Anonymous Underground Movement (MCA)","Morocco",1
"Ansar Al Sunnah (Palestine)","Israel",2
"Ansar Al Sunnah (Palestine)","Thailand",1
"Ansar al-Din","West Bank and Gaza Strip",1
"Ansar al-Din Front","Syria",2
